id,gold_category,gold_known_class,gold_open_set,pred_category,pred_known_class,pred_open_set,result_type,confidence,category_correct,known_class_correct,open_set_correct,exact_correct,dataset
known_arleigh_burke_002,驱逐舰,阿利·伯克级驱逐舰,False,两栖舰,,True,category_unknown,0.6326,False,False,False,False,origin_80
known_arleigh_burke_008,驱逐舰,阿利·伯克级驱逐舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8831,False,False,True,False,origin_80
known_wasp_002,两栖舰,黄蜂级两栖攻击舰,False,两栖舰,圣安东尼奥级两栖船坞运输舰,False,known_class,0.9944,True,False,True,False,origin_80
known_wasp_007,两栖舰,黄蜂级两栖攻击舰,False,两栖舰,圣安东尼奥级两栖船坞运输舰,False,known_class,0.9267,True,False,True,False,origin_80
known_san_antonio_003,两栖舰,圣安东尼奥级两栖船坞运输舰,False,登陆舰,惠德比岛级船坞登陆舰,False,known_class,0.9582,False,False,True,False,origin_80
known_san_antonio_008,两栖舰,圣安东尼奥级两栖船坞运输舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.56,True,False,True,False,origin_80
known_whidbey_island_005,登陆舰,惠德比岛级船坞登陆舰,False,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.9363,False,False,True,False,origin_80
unknown_destroyer_real_001,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,known_class,0.7261,True,False,False,False,origin_80
unknown_destroyer_real_002,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,known_class,0.7842,True,False,False,False,origin_80
unknown_destroyer_real_003,驱逐舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.56,False,False,False,False,origin_80
unknown_destroyer_real_005,驱逐舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8179,False,False,False,False,origin_80
unknown_destroyer_real_006,驱逐舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.56,False,False,False,False,origin_80
unknown_destroyer_real_007,驱逐舰,,True,驱逐舰,阿利·伯克级驱逐舰,False,known_class,0.7892,True,False,False,False,origin_80
unknown_destroyer_real_008,驱逐舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.6768,False,False,False,False,origin_80
unknown_frigate_a_real_001,护卫舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.6,False,False,False,False,origin_80
unknown_frigate_a_real_002,护卫舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.56,False,False,False,False,origin_80
unknown_frigate_a_real_003,护卫舰,,True,护卫舰,独立级濒海战斗舰,False,known_class,0.6,True,False,False,False,origin_80
unknown_frigate_a_real_004,护卫舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.8145,False,False,False,False,origin_80
unknown_frigate_a_real_005,护卫舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.6,False,False,False,False,origin_80
unknown_frigate_a_real_006,护卫舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.56,False,False,False,False,origin_80
unknown_frigate_a_real_007,护卫舰,,True,两栖舰,黄蜂级两栖攻击舰,False,known_class,0.56,False,False,False,False,origin_80
